timestamp;test;operations;duration_ms;throughput_ops_s;p50_ms;p95_ms;p99_ms
17:43:12.0506016;WriteOnly (threshold=5);50000;230886;217;0,849;22,003;25,256
17:43:43.0169509;WriteOnly (threshold=100);50000;27897;1792;0,36;0,62;1,938
17:44:03.3574635;WriteOnly (threshold=1000);50000;20090;2489;0,368;0,558;0,714
17:44:48.004315;ReadOnly (existing keys);50000;606;82508;0,01;0,02;0,033
17:44:48.2421571;ReadOnly (nonexistent keys);50000;216;231481;0,004;0,006;0,009
17:46:03.9735994;Mixed Write;59842;30000;1995;0,855;1,204;1,476
17:46:04.9470363;Mixed Read;3460948;30000;115365;0,014;0,023;0,038
17:46:23.9739655;Stress Threshold=1, 8 threads;10000;18922;528;6,425;34,733;51,723
17:51:33.256437;endurance_checkpoint_1;10000;3323;3009;0;0;0
17:51:36.7057257;endurance_checkpoint_2;10000;3456;2894;0;0;0
17:51:40.2118225;endurance_checkpoint_3;10000;3506;2852;0;0;0
17:51:43.686401;endurance_checkpoint_4;10000;3473;2879;0;0;0
17:51:47.1264779;endurance_checkpoint_5;10000;3442;2905;0;0;0
17:51:50.52004;endurance_checkpoint_6;10000;3396;2945;0;0;0
17:51:54.0461788;endurance_checkpoint_7;10000;3525;2837;0;0;0
17:51:57.4372943;endurance_checkpoint_8;10000;3387;2952;0;0;0
17:52:00.8947171;endurance_checkpoint_9;10000;3456;2894;0;0;0
17:52:04.9206603;endurance_checkpoint_10;10000;4025;2484;0;0;0
17:52:08.9791167;endurance_checkpoint_11;10000;4060;2463;0;0;0
17:52:12.778863;endurance_checkpoint_12;10000;3799;2632;0;0;0
17:52:16.4489471;endurance_checkpoint_13;10000;3669;2726;0;0;0
17:52:20.1510366;endurance_checkpoint_14;10000;3700;2703;0;0;0
17:52:23.8302219;endurance_checkpoint_15;10000;3682;2716;0;0;0
17:52:27.6194863;endurance_checkpoint_16;10000;3786;2641;0;0;0
17:52:31.3463751;endurance_checkpoint_17;10000;3728;2682;0;0;0
17:52:35.2054562;endurance_checkpoint_18;10000;3857;2593;0;0;0
17:52:38.8899674;endurance_checkpoint_19;10000;3682;2716;0;0;0
17:52:42.5857429;endurance_checkpoint_20;10000;3695;2706;0;0;0
17:52:46.2694825;endurance_checkpoint_21;10000;3684;2714;0;0;0
17:52:50.0385981;endurance_checkpoint_22;10000;3769;2653;0;0;0
17:52:53.8360789;endurance_checkpoint_23;10000;3800;2632;0;0;0
17:52:57.7263312;endurance_checkpoint_24;10000;3887;2573;0;0;0
17:53:01.7138012;endurance_checkpoint_25;10000;3985;2509;0;0;0
17:53:05.4559747;endurance_checkpoint_26;10000;3743;2672;0;0;0
17:53:09.1667636;endurance_checkpoint_27;10000;3710;2695;0;0;0
17:53:13.062948;endurance_checkpoint_28;10000;3898;2565;0;0;0
17:53:17.1141694;endurance_checkpoint_29;10000;4050;2469;0;0;0
17:53:21.0233839;endurance_checkpoint_30;10000;3910;2558;0;0;0
17:53:24.5439973;endurance_checkpoint_31;10000;3520;2841;0;0;0
17:53:27.8291084;endurance_checkpoint_32;10000;3285;3044;0;0;0
17:53:31.1269753;endurance_checkpoint_33;10000;3297;3033;0;0;0
17:53:34.5286854;endurance_checkpoint_34;10000;3401;2940;0;0;0
17:53:37.8380792;endurance_checkpoint_35;10000;3311;3020;0;0;0
17:53:41.1296292;endurance_checkpoint_36;10000;3291;3039;0;0;0
17:53:44.4736151;endurance_checkpoint_37;10000;3341;2993;0;0;0
17:53:47.7659945;endurance_checkpoint_38;10000;3292;3038;0;0;0
17:53:51.0665315;endurance_checkpoint_39;10000;3297;3033;0;0;0
17:53:54.3862124;endurance_checkpoint_40;10000;3329;3004;0;0;0
17:53:57.5592427;endurance_checkpoint_41;10000;3167;3158;0;0;0
17:54:00.7485234;endurance_checkpoint_42;10000;3189;3136;0;0;0
17:54:03.9527866;endurance_checkpoint_43;10000;3202;3123;0;0;0
17:54:07.1330782;endurance_checkpoint_44;10000;3177;3148;0;0;0
17:54:10.2968282;endurance_checkpoint_45;10000;3168;3157;0;0;0
17:54:13.4863714;endurance_checkpoint_46;10000;3187;3138;0;0;0
17:54:16.6910749;endurance_checkpoint_47;10000;3206;3119;0;0;0
17:54:19.8896405;endurance_checkpoint_48;10000;3196;3129;0;0;0
17:54:23.1130157;endurance_checkpoint_49;10000;3223;3103;0;0;0
17:54:26.3580823;endurance_checkpoint_50;10000;3245;3082;0;0;0
17:54:29.6118432;endurance_checkpoint_51;10000;3252;3075;0;0;0
17:54:32.8270941;endurance_checkpoint_52;10000;3213;3112;0;0;0
17:54:36.0763544;endurance_checkpoint_53;10000;3253;3074;0;0;0
17:54:39.296395;endurance_checkpoint_54;10000;3221;3105;0;0;0
17:54:42.4992364;endurance_checkpoint_55;10000;3200;3125;0;0;0
17:54:45.7357726;endurance_checkpoint_56;10000;3235;3091;0;0;0
17:54:49.0012042;endurance_checkpoint_57;10000;3267;3061;0;0;0
17:54:52.2045287;endurance_checkpoint_58;10000;3201;3124;0;0;0
17:54:55.4461486;endurance_checkpoint_59;10000;3245;3082;0;0;0
17:54:58.6660951;endurance_checkpoint_60;10000;3221;3105;0;0;0
17:55:01.9161927;endurance_checkpoint_61;10000;3244;3083;0;0;0
17:55:05.1761222;endurance_checkpoint_62;10000;3259;3068;0;0;0
17:55:08.4362825;endurance_checkpoint_63;10000;3258;3069;0;0;0
17:55:11.7063918;endurance_checkpoint_64;10000;3277;3052;0;0;0
17:55:14.9806907;endurance_checkpoint_65;10000;3265;3063;0;0;0
17:55:18.2574162;endurance_checkpoint_66;10000;3279;3050;0;0;0
17:55:21.5078978;endurance_checkpoint_67;10000;3252;3075;0;0;0
17:55:24.7763637;endurance_checkpoint_68;10000;3266;3062;0;0;0
17:55:27.9961075;endurance_checkpoint_69;10000;3217;3108;0;0;0
17:55:31.2789239;endurance_checkpoint_70;10000;3283;3046;0;0;0
17:55:34.566299;endurance_checkpoint_71;10000;3288;3041;0;0;0
17:55:37.7818608;endurance_checkpoint_72;10000;3217;3108;0;0;0
17:55:41.0577754;endurance_checkpoint_73;10000;3275;3053;0;0;0
17:55:44.3188575;endurance_checkpoint_74;10000;3259;3068;0;0;0
17:55:47.630158;endurance_checkpoint_75;10000;3313;3018;0;0;0
17:55:50.9365437;endurance_checkpoint_76;10000;3300;3030;0;0;0
17:55:54.2373537;endurance_checkpoint_77;10000;3306;3025;0;0;0
17:55:57.7960179;endurance_checkpoint_78;10000;3562;2807;0;0;0
17:56:01.2792125;endurance_checkpoint_79;10000;3477;2876;0;0;0
17:56:04.7258871;endurance_checkpoint_80;10000;3446;2902;0;0;0
17:56:08.842582;endurance_checkpoint_81;10000;4115;2430;0;0;0
17:56:12.9462883;endurance_checkpoint_82;10000;4104;2437;0;0;0
17:56:16.5912086;endurance_checkpoint_83;10000;3643;2745;0;0;0
17:56:20.6362351;endurance_checkpoint_84;10000;4045;2472;0;0;0
17:56:24.6764028;endurance_checkpoint_85;10000;4038;2476;0;0;0
17:56:28.7426277;endurance_checkpoint_86;10000;4068;2458;0;0;0
17:56:32.2564584;endurance_checkpoint_87;10000;3519;2842;0;0;0
17:56:35.8181991;endurance_checkpoint_88;10000;3554;2814;0;0;0
17:56:39.4163611;endurance_checkpoint_89;10000;3601;2777;0;0;0
17:56:42.877637;endurance_checkpoint_90;10000;3458;2892;0;0;0
17:56:46.2949893;endurance_checkpoint_91;10000;3418;2926;0;0;0
17:56:49.739141;endurance_checkpoint_92;10000;3443;2904;0;0;0
17:56:53.1164618;endurance_checkpoint_93;10000;3381;2958;0;0;0
17:56:57.0474038;endurance_checkpoint_94;10000;3930;2545;0;0;0
17:57:01.2786724;endurance_checkpoint_95;10000;4226;2366;0;0;0
17:57:05.1957002;endurance_checkpoint_96;10000;3916;2554;0;0;0
17:57:09.1589357;endurance_checkpoint_97;10000;3968;2520;0;0;0
17:57:12.8264382;endurance_checkpoint_98;10000;3671;2724;0;0;0
17:57:16.448692;endurance_checkpoint_99;10000;3618;2764;0;0;0
17:57:20.0306223;endurance_checkpoint_100;10000;3579;2794;0;0;0
